date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2023-04-13,2023-04-13T09:17:00+05:30,2023-04-13T13:47:00+05:30,270.0,33.7,41.9,10.45,16.95,75.6,6025.0,108.48,5916.52,Winner Booking (28.0%),0,12.32,17792.0508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.003641533081119
2023-04-19,2023-04-19T09:17:00+05:30,2023-04-19T09:31:00+05:30,14.0,54.7,51.0,62.3,44.6,105.7,-150.0,119.71,-269.71,Combined SL (32.2%),1,12.23,17648.3008,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.009818775222463
2023-04-27,2023-04-27T09:17:00+05:30,2023-04-27T13:31:00+05:30,254.0,39.65,28.7,12.7,10.8,68.35,5606.25,107.02,5499.23,Winner Booking (29.5%),0,11.79,17813.5508,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,11.98310379416184
2023-05-04,2023-05-04T09:17:00+05:30,2023-05-04T12:45:00+05:30,208.0,34.5,37.95,10.4,15.5,72.45,5818.75,107.86,5710.89,Winner Booking (27.2%),0,11.890000343322754,18103.150390625,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,11.996630663830972
2023-05-17,2023-05-17T09:17:00+05:30,2023-05-17T11:52:00+05:30,155.0,53.5,62.5,66.55,46.25,116.0,400.0,121.81,278.19,Spot Move Exit (117pts > 116pts),1,13.39,18283.2,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.912014865718119
2023-06-22,2023-06-22T09:17:00+05:30,2023-06-22T14:17:00+05:30,300.0,34.0,38.35,10.4,14.2,72.35,4775.0,105.07,4669.93,Winner Booking (27.6%),0,11.41,18849.45,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.012647396141137
2023-07-12,2023-07-12T09:17:00+05:30,2023-07-12T15:15:00+05:30,358.0,77.2,37.9,51.4,44.3,115.1,1940.0,115.08,1824.92,Time Exit (15:15),1,11.08,19477.4,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,17.50082150322485
2023-08-10,2023-08-10T09:17:00+05:30,2023-08-10T10:33:00+05:30,76.0,49.45,46.55,42.4,51.2,96.0,240.0,112.56,127.44,Spot Move Exit (96pts > 96pts),0,11.52,19612.15,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.559271601446197
2023-09-29,2023-09-29T09:17:00+05:30,2023-09-29T15:15:00+05:30,358.0,120.65,91.5,108.55,70.45,212.15,3315.0,132.71,3182.29,Time Exit (15:15),3,12.37,19589.95,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.849125756386535
2023-10-25,2023-10-25T09:17:00+05:30,2023-10-25T12:33:00+05:30,196.0,89.7,50.9,62.9,74.65,140.6,305.0,121.03,183.97,Spot Move Exit (142pts > 141pts),1,11.03,19328.25,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,20.136681310307996
