Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
868.2,2023-07-06,Thursday,09:17:00,53.45,65,PE,19400.0,Sell,2023-07-06,Thursday,15:15:00,0.1,3467.75,99.81290926099157,2023-07-06,,,Exit Condition Met For Trade
869,2023-07-07,,09:17:00,19454.5,,,,,2023-07-07,,11:27:00,19397.25,-2746.25,,,685.75,-2746.25,
869.1,2023-07-07,Friday,09:17:00,105.6,65,CE,19450.0,Sell,2023-07-07,Friday,09:55:00,126.7,-1371.5000000000005,-19.981060606060616,2023-07-13,,,Stop Loss Hit
869.2,2023-07-07,Friday,09:17:00,105.85,65,PE,19450.0,Sell,2023-07-07,Friday,11:27:00,127.0,-1374.7500000000005,-19.981105337742093,2023-07-13,,,Stop Loss Hit
870,2023-07-10,,09:17:00,19400.55,,,,,2023-07-10,,10:29:00,19430.4,-2258.75,,,555.75,-2258.75,
870.1,2023-07-10,Monday,09:17:00,85.05,65,CE,19400.0,Sell,2023-07-10,Monday,10:29:00,102.05,-1105.0,-19.988242210464435,2023-07-13,,,Stop Loss Hit
870.2,2023-07-10,Monday,09:17:00,88.65,65,PE,19400.0,Sell,2023-07-10,Monday,09:35:00,106.4,-1153.75,-20.022560631697687,2023-07-13,,,Stop Loss Hit
871,2023-07-11,,09:17:00,19433.4,,,,,2023-07-11,,15:15:00,19428.15,555.75,,,1813.5,0,Exit Condition Met For Trade
871.1,2023-07-11,Tuesday,09:17:00,57.1,65,CE,19450.0,Sell,2023-07-11,Tuesday,09:31:00,68.5,-740.9999999999999,-19.964973730297718,2023-07-13,,,Stop Loss Hit
871.2,2023-07-11,Tuesday,09:17:00,76.4,65,PE,19450.0,Sell,2023-07-11,Tuesday,15:15:00,56.45,1296.7500000000002,26.112565445026178,2023-07-13,,,Exit Condition Met For Trade
872,2023-07-12,,09:17:00,19477.7,,,,,2023-07-12,,15:15:00,19371.7,1508.0,,,1566.5,-507.0,Exit Condition Met For Trade
